[ 2026-04-06 17:18:22,457 ] 34 root - INFO - Data Ingestion started
[ 2026-04-06 17:18:41,551 ] 123 root - INFO - Performed train test split on the dataframe
[ 2026-04-06 17:18:41,551 ] 125 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-06 17:18:41,551 ] 132 root - INFO - Exporting train and test file path.
[ 2026-04-06 17:18:41,641 ] 141 root - INFO - Exported train and test file path.
[ 2026-04-06 17:18:41,642 ] 40 root - INFO - Data Ingestion completed
[ 2026-04-06 17:18:41,642 ] 50 root - INFO - Data Validation started
[ 2026-04-06 17:18:41,650 ] 181 root - INFO - Data Validation started
[ 2026-04-06 17:18:41,757 ] 190 root - INFO - Train and Test data loaded successfully
[ 2026-04-06 17:18:41,757 ] 69 root - INFO - Required no of columns: 2
[ 2026-04-06 17:18:41,757 ] 70 root - INFO - DataFrame has total columns: 31
[ 2026-04-06 17:18:41,757 ] 69 root - INFO - Required no of columns: 2
[ 2026-04-06 17:18:41,757 ] 70 root - INFO - DataFrame has total columns: 31
[ 2026-04-06 17:18:41,757 ] 218 root - INFO - Validation error message:  Train dataframe does not contain all columns. 
 Test dataframe does not contain all columns. 

[ 2026-04-06 17:18:41,757 ] 116 root - INFO - Checking for data drift...
[ 2026-04-06 17:18:41,937 ] 230 root - INFO - Validated train and test data saved successfully
[ 2026-04-06 17:18:41,937 ] 61 root - INFO - Data Validation completed
